"Item Code","Item Group","Default Unit of Measure","Standard Selling Rate","ID (Barcodes)","Barcode (Barcodes)","Barcode Type (Barcodes)","UOM (Barcodes)","Colour (Variant Attributes)","Attribute Value (Variant Attributes)","Default Warehouse (Item Defaults)"
"HAS-ABA-SIN-EMG-S","Glitz n Glam Abayas","Size",1250.0,"misg7eu053","4818489783","CODE-39","Size","","Emerald Green","Stores - BAE"
"","","","","","","","","","S - 54",""
"HAS-ABA-SIN","Glitz n Glam Abayas","Size",1250.0,"mitgt22f2e","481848","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"SHA-ABA-SIN-GRA-L","Abayas","Size",1000.0,"miud9s6hd4","5418487276","CODE-39","Size","","Grey","Stores - BAE"
"","","","","","","","","","L - 58",""
"SHA-ABA-SIN-GRA-XS","Abayas","Size",1000.0,"miv41dcttj","5418487237","CODE-39","Size","","Grey","Stores - BAE"
"","","","","","","","","","XS - 52",""
"SHA-ABA-SIN-BRO-L","Abayas","Size",1000.0,"05igl8tgc7","5418486576","CODE-39","Size","","Brown","Stores - BAE"
"","","","","","","","","","L - 58",""
"SHA-ABA-SIN-BRO-XS","Abayas","Size",1000.0,"mivdstg5p1","5418486537","CODE-39","Size","","Brown","Stores - BAE"
"","","","","","","","","","XS - 52",""
"SHA-ABA-SIN","Abayas","Size",1000.0,"mj0ddvojk1","541848","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"SAF-ABA-SET-WHT-M","Abayas","Size",1000.0,"jp0nqmm4ni","0885265477","CODE-39","Size","","White","Stores - BAE"
"","","","","","","","","","M - 56",""
"SAF-ABA-SET","Abayas","Size",1000.0,"mj4q9kcuim","681878","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"DAN-THR-SIN-PNK-M","Casual Throws","Size",500.0,"mj66lp1nqd","0974483977","CODE-39","Size","","Pink","Stores - BAE"
"","","","","","","","","","M - 56",""
"DAN-THR-SIN-SIL-XS","Casual Throws","Size",500.0,"mj6q0ha7cb","0974483437","CODE-39","Size","","Silver","Stores - BAE"
"","","","","","","","","","XS - 52",""
"DAN-THR-SIN-BLU-S","Casual Throws","Size",500.0,"mj7sk1dsbd","0974488983","CODE-39","Size","","Blue","Stores - BAE"
"","","","","","","","","","S - 54",""
"DAN-THR-SIN","Casual Throws","Size",500.0,"mj7cknvfo7","097448","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"QAL-ABA-SIN-BEI-XXS","Teens","Size",800.0,"mjgr9oet0n","0818488433","CODE-39","Size","","Beige","Stores - BAE"
"","","","","","","","","","XXS - 50",""
"QAL-ABA-SIN-BHS-XXS","Teens","Size",800.0,"mjgbt47hk2","0818486333","CODE-39","Size","","Black Hearts","Stores - BAE"
"","","","","","","","","","XXS - 50",""
"QAL-ABA-SIN","Teens","Size",800.0,"mjhjupc5fs","081848","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"HEL-ABA-SET-FOG-FET","Teens","Size",850.0,"mjjbujoats","1118780465","CODE-39","Size","","Forest Green","Stores - BAE"
"","","","","","","","","","48in",""
"HEL-ABA-SET-FOG-XXS","Teens","Size",850.0,"mjjn9tp368","1118780433","CODE-39","Size","","Forest Green","Stores - BAE"
"","","","","","","","","","XXS - 50",""
"HEL-ABA-SET-ROB-S","Teens","Size",850.0,"mjksbcngan","1118788183","CODE-39","Size","","Royal Blue","Stores - BAE"
"","","","","","","","","","S - 54",""
"HEL-ABA-SET-ROB-XS","Teens","Size",850.0,"mjklhagssc","1118788137","CODE-39","Size","","Royal Blue","Stores - BAE"
"","","","","","","","","","XS - 52",""
