"Bulk Edit Items"
"Barcode","Has Item Scanned","Item Code","Item Name","Item Group","Warehouse","Quantity","Valuation Rate","Amount","Allow Zero Valuation Rate","Use Serial No / Batch Fields","Reconcile All Serial Nos / Batches","Serial / Batch Bundle","Current Serial / Batch Bundle","Serial No","Batch No","Current Qty","Current Amount","Current Valuation Rate","Current Serial No","Quantity Difference","Amount Difference"
"barcode","has_item_scanned","item_code","item_name","item_group","warehouse","qty","valuation_rate","amount","allow_zero_valuation_rate","use_serial_batch_fields","reconcile_all_serial_batch","serial_and_batch_bundle","current_serial_and_batch_bundle","serial_no","batch_no","current_qty","current_amount","current_valuation_rate","current_serial_no","quantity_difference","amount_difference"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"The CSV format is case sensitive"
"Do not edit headers which are preset in the template"
"------"
"","","AAP-ABA-SIN-STA-M","Aaira Double Zip - Blue Zip-STA-M","Webstore-Items","Durban Store - BAE",1,1300,"","",1,"","","","","",1,"",1300,"","",""
"","","AAP-ABA-SIN-STA-S","Aaira Double Zip - Blue Zip-STA-S","Webstore-Items","Durban Store - BAE",3,1300,"","",1,"","","","","",3,"",1300,"","",""
"","","ACS-INN-SIN-BLK-L","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-BLK-M","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-BLK-S","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-BLK-XL","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-BLK-XS","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-BLK-XXL","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-BLU-L","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-BLU-M","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-BLU-S","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-BLU-XL","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-BLU-XS","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-BLU-XXL","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-CHO-L","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-CHO-M","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-CHO-S","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-CHO-XL","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-CHO-XS","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-CHO-XXL","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-CRE-L","Aqsa Long Sleeve Inner Dress-CRE-L","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-CRE-M","Aqsa Long Sleeve Inner Dress-CRE-M","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-CRE-S","Aqsa Long Sleeve Inner Dress-CRE-S","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-CYA-L","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-CYA-M","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-CYA-S","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-CYA-XL","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-CYA-XS","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-CYA-XXL","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-DGR-XL","Aqsa Long Sleeve Inner Dress-DGR-XL","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-GRA-L","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-GRA-M","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-GRA-S","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-GRA-XL","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-GRA-XS","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-GRA-XXL","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-LGR-L","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-LGR-M","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-LGR-S","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-LGR-XL","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-LGR-XS","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-LGR-XXL","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-MGR-S","Aqsa Long Sleeve Inner Dress-MGR-S","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-MGR-XL","Aqsa Long Sleeve Inner Dress-MGR-XL","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-MGR-XS","Aqsa Long Sleeve Inner Dress-MGR-XS","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-NUD-L","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-NUD-M","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-NUD-S","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-NUD-XL","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-NUD-XS","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-NUD-XXL","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-PNK-L","Aqsa Long Sleeve Inner Dress-PNK-L","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-PNK-S","Aqsa Long Sleeve Inner Dress-PNK-S","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-WHT-L","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-WHT-M","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-WHT-S","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-WHT-XL","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INN-SIN-WHT-XS","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INN-SIN-WHT-XXL","Aqsa Long Sleeve Inner Dress","Webstore-Items","Durban Store - BAE","",250,"","",1,"","","","","","","",250,"","",""
"","","ACS-INS-SIN-BLK-M","Aqsa Short Sleeve Inners-BLK-M","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INS-SIN-BLK-S","Aqsa Short Sleeve Inners-BLK-S","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INS-SIN-DEG-XL","Aqsa Short Sleeve Inners-DEG-XL","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INS-SIN-DEG-XS","Aqsa Short Sleeve Inners-DEG-XS","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INS-SIN-GRA-S","Aqsa Short Sleeve Inners-GRA-S","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","ACS-INS-SIN-GRA-XS","Aqsa Short Sleeve Inners-GRA-XS","Webstore-Items","Durban Store - BAE",1,250,"","",1,"","","","","",1,"",250,"","",""
"","","AJE-ABA-SIN-BLK-L","Al Jeddah Abaya ","Webstore-Items","Durban Store - BAE",1,1595,"","",1,"","","","","",1,"",1595,"","",""
"","","AJE-ABA-SIN-BLK-M","Al Jeddah Abaya ","Webstore-Items","Durban Store - BAE","",1595,"","",1,"","","","","","","",1595,"","",""
"","","AJE-ABA-SIN-BLK-S","Al Jeddah Abaya ","Webstore-Items","Durban Store - BAE","",1595,"","",1,"","","","","","","",1595,"","",""
"","","AJE-ABA-SIN-BLK-XL","Al Jeddah Abaya ","Webstore-Items","Durban Store - BAE",1,1595,"","",1,"","","","","",1,"",1595,"","",""
"","","AJE-ABA-SIN-BLK-XS","Al Jeddah Abaya ","Webstore-Items","Durban Store - BAE","",1595,"","",1,"","","","","","","",1595,"","",""
"","","AJE-ABA-SIN-CAR-L","Al Jeddah Abaya ","Webstore-Items","Durban Store - BAE",3,1595,"","",1,"","","","","",3,"",1595,"","",""
"","","AJE-ABA-SIN-CAR-M","Al Jeddah Abaya ","Webstore-Items","Durban Store - BAE","",1595,"","",1,"","","","","","","",1595,"","",""
"","","AJE-ABA-SIN-CAR-S","Al Jeddah Abaya ","Webstore-Items","Durban Store - BAE",4,1595,"","",1,"","","","","",4,"",1595,"","",""
"","","AJE-ABA-SIN-CAR-XL","Al Jeddah Abaya ","Webstore-Items","Durban Store - BAE",1,1595,"","",1,"","","","","",1,"",1595,"","",""
"","","AJE-ABA-SIN-CAR-XS","Al Jeddah Abaya ","Webstore-Items","Durban Store - BAE",1,1595,"","",1,"","","","","",1,"",1595,"","",""
"","","AJE-ABA-SIN-CBR-L","Al Jeddah Abaya ","Webstore-Items","Durban Store - BAE",2,1595,"","",1,"","","","","",2,"",1595,"","",""
"","","AJE-ABA-SIN-CBR-M","Al Jeddah Abaya ","Webstore-Items","Durban Store - BAE","",1595,"","",1,"","","","","","","",1595,"","",""
"","","AJE-ABA-SIN-CBR-S","Al Jeddah Abaya ","Webstore-Items","Durban Store - BAE",2,1595,"","",1,"","","","","",2,"",1595,"","",""
"","","AJE-ABA-SIN-CBR-XL","Al Jeddah Abaya ","Webstore-Items","Durban Store - BAE",1,1595,"","",1,"","","","","",1,"",1595,"","",""
"","","AJE-ABA-SIN-CBR-XS","Al Jeddah Abaya ","Webstore-Items","Durban Store - BAE","",1595,"","",1,"","","","","","","",1595,"","",""
"","","ALA-ABA-SET-BLK-L","Al Aini Classic Flare","Webstore-Items","Durban Store - BAE","",1395,"","",1,"","","","","","","",1395,"","",""
"","","ALA-ABA-SET-BLK-M","Al Aini Classic Flare","Webstore-Items","Durban Store - BAE","",1395,"","",1,"","","","","","","",1395,"","",""
"","","ALA-ABA-SET-BLK-S","Al Aini Classic Flare","Webstore-Items","Durban Store - BAE","",1395,"","",1,"","","","","","","",1395,"","",""
"","","ALA-ABA-SET-BLK-XL","Al Aini Classic Flare","Webstore-Items","Durban Store - BAE","",1395,"","",1,"","","","","","","",1395,"","",""
"","","ALA-ABA-SET-BLK-XS","Al Aini Classic Flare","Webstore-Items","Durban Store - BAE","",1395,"","",1,"","","","","","","",1395,"","",""
"","","ALA-ABA-SET-BLK-XXL","Al Aini Classic Flare","Webstore-Items","Durban Store - BAE","",1395,"","",1,"","","","","","","",1395,"","",""
"","","ALA-ABA-SET-CHO-L","Al Aini Classic Flare","Webstore-Items","Durban Store - BAE","",1395,"","",1,"","","","","","","",1395,"","",""
"","","ALA-ABA-SET-CHO-M","Al Aini Classic Flare","Webstore-Items","Durban Store - BAE","",1395,"","",1,"","","","","","","",1395,"","",""
"","","ALA-ABA-SET-CHO-S","Al Aini Classic Flare","Webstore-Items","Durban Store - BAE","",1395,"","",1,"","","","","","","",1395,"","",""
